user_id,username,age_group,preferred_cat,total_purchases
209,user_0209,46-60,Books,38
210,user_0210,26-35,Books,18
211,user_0211,36-45,Clothing,34
212,user_0212,46-60,Electronics,38
213,user_0213,18-25,Automotive,15
214,user_0214,46-60,Beauty,42
215,user_0215,36-45,Electronics,5
216,user_0216,60+,Home & Kitchen,10
217,user_0217,18-25,Books,17
218,user_0218,46-60,Home & Kitchen,24
219,user_0219,60+,Books,6
220,user_0220,60+,Books,13
221,user_0221,36-45,Clothing,48
222,user_0222,36-45,Clothing,47
223,user_0223,18-25,Toys,16
224,user_0224,36-45,Beauty,16
225,user_0225,46-60,Automotive,4
226,user_0226,18-25,Clothing,32
227,user_0227,36-45,Clothing,29
228,user_0228,26-35,Sports,19
229,user_0229,60+,Sports,18
230,user_0230,46-60,Books,22
231,user_0231,60+,Beauty,1
232,user_0232,60+,Electronics,12
233,user_0233,26-35,Beauty,34
234,user_0234,18-25,Beauty,26
235,user_0235,60+,Clothing,9
236,user_0236,26-35,Electronics,47
237,user_0237,18-25,Beauty,47
238,user_0238,36-45,Toys,48
239,user_0239,60+,Electronics,26
240,user_0240,46-60,Electronics,8
241,user_0241,18-25,Clothing,15
242,user_0242,26-35,Home & Kitchen,23
243,user_0243,26-35,Sports,26
244,user_0244,36-45,Automotive,7
245,user_0245,36-45,Toys,23
246,user_0246,36-45,Toys,45
247,user_0247,26-35,Books,38
248,user_0248,36-45,Clothing,15
249,user_0249,18-25,Toys,37
250,user_0250,46-60,Books,39
251,user_0251,18-25,Electronics,39
252,user_0252,26-35,Beauty,44
253,user_0253,18-25,Electronics,13
254,user_0254,46-60,Electronics,4
255,user_0255,26-35,Clothing,41
256,user_0256,60+,Books,47
257,user_0257,46-60,Toys,22
258,user_0258,26-35,Toys,8
259,user_0259,18-25,Home & Kitchen,19
260,user_0260,26-35,Electronics,37
261,user_0261,46-60,Books,34
262,user_0262,36-45,Automotive,45
263,user_0263,60+,Electronics,33
264,user_0264,60+,Beauty,21
265,user_0265,46-60,Beauty,11
266,user_0266,18-25,Toys,3
267,user_0267,36-45,Toys,40
268,user_0268,60+,Home & Kitchen,24
269,user_0269,26-35,Home & Kitchen,28
270,user_0270,36-45,Home & Kitchen,15
271,user_0271,18-25,Beauty,38
272,user_0272,36-45,Beauty,2
273,user_0273,36-45,Automotive,26
274,user_0274,36-45,Sports,44
275,user_0275,60+,Beauty,26
276,user_0276,46-60,Clothing,20
277,user_0277,18-25,Home & Kitchen,49
278,user_0278,46-60,Toys,1
279,user_0279,26-35,Beauty,38
280,user_0280,60+,Beauty,11
281,user_0281,46-60,Sports,43
282,user_0282,36-45,Electronics,6
283,user_0283,26-35,Automotive,10
284,user_0284,60+,Toys,10
285,user_0285,46-60,Books,13
286,user_0286,26-35,Home & Kitchen,1
287,user_0287,60+,Electronics,17
288,user_0288,18-25,Clothing,15
289,user_0289,36-45,Beauty,31
290,user_0290,18-25,Sports,44
291,user_0291,26-35,Beauty,11
292,user_0292,18-25,Books,12
293,user_0293,36-45,Clothing,1
294,user_0294,46-60,Automotive,29
295,user_0295,36-45,Electronics,37
296,user_0296,46-60,Beauty,35
297,user_0297,60+,Sports,5
298,user_0298,36-45,Clothing,14
299,user_0299,26-35,Beauty,4
300,user_0300,18-25,Sports,42
301,user_0301,18-25,Books,40
302,user_0302,36-45,Sports,38
303,user_0303,18-25,Toys,15
304,user_0304,18-25,Electronics,17
305,user_0305,18-25,Toys,2
306,user_0306,60+,Automotive,40
307,user_0307,36-45,Toys,6
308,user_0308,36-45,Toys,8
309,user_0309,26-35,Automotive,15
310,user_0310,60+,Electronics,30
311,user_0311,36-45,Home & Kitchen,29
312,user_0312,18-25,Electronics,37
313,user_0313,36-45,Toys,33
314,user_0314,46-60,Beauty,2
315,user_0315,26-35,Sports,10
316,user_0316,18-25,Beauty,38
317,user_0317,60+,Toys,47
318,user_0318,46-60,Sports,24
319,user_0319,46-60,Automotive,15
320,user_0320,60+,Automotive,5
321,user_0321,60+,Toys,4
322,user_0322,46-60,Sports,2
323,user_0323,36-45,Toys,36
324,user_0324,46-60,Books,43
325,user_0325,36-45,Sports,20
326,user_0326,36-45,Beauty,10
327,user_0327,26-35,Beauty,43
328,user_0328,46-60,Books,13
329,user_0329,26-35,Electronics,33
330,user_0330,46-60,Clothing,12
331,user_0331,46-60,Home & Kitchen,48
332,user_0332,46-60,Sports,37
333,user_0333,26-35,Electronics,28
334,user_0334,26-35,Electronics,29
335,user_0335,18-25,Beauty,11
336,user_0336,18-25,Beauty,37
337,user_0337,60+,Books,46
338,user_0338,46-60,Beauty,23
339,user_0339,18-25,Electronics,40
340,user_0340,60+,Toys,9
341,user_0341,60+,Electronics,10
342,user_0342,46-60,Electronics,26
343,user_0343,18-25,Clothing,25
344,user_0344,26-35,Clothing,38
345,user_0345,26-35,Toys,18
346,user_0346,36-45,Books,27
347,user_0347,18-25,Automotive,43
348,user_0348,36-45,Home & Kitchen,24
349,user_0349,18-25,Toys,6
350,user_0350,60+,Automotive,33
351,user_0351,18-25,Sports,43
352,user_0352,26-35,Home & Kitchen,21
353,user_0353,18-25,Toys,17
354,user_0354,46-60,Electronics,49
355,user_0355,46-60,Beauty,22
356,user_0356,46-60,Toys,40
357,user_0357,18-25,Toys,1
358,user_0358,60+,Beauty,23
359,user_0359,36-45,Clothing,19
360,user_0360,60+,Electronics,45
361,user_0361,60+,Beauty,16
362,user_0362,36-45,Books,1
363,user_0363,36-45,Toys,2
364,user_0364,46-60,Electronics,30
365,user_0365,36-45,Toys,4
366,user_0366,18-25,Automotive,29
367,user_0367,36-45,Automotive,10
368,user_0368,26-35,Clothing,46
369,user_0369,26-35,Home & Kitchen,33
370,user_0370,46-60,Automotive,7
371,user_0371,60+,Automotive,1
372,user_0372,18-25,Toys,3
373,user_0373,36-45,Toys,8
374,user_0374,18-25,Toys,37
375,user_0375,36-45,Clothing,33
376,user_0376,46-60,Toys,8
377,user_0377,26-35,Clothing,32
378,user_0378,36-45,Automotive,4
379,user_0379,46-60,Sports,21
380,user_0380,26-35,Toys,10
381,user_0381,18-25,Toys,21
382,user_0382,36-45,Automotive,19
383,user_0383,46-60,Sports,18
384,user_0384,26-35,Electronics,47
385,user_0385,60+,Home & Kitchen,11
386,user_0386,26-35,Toys,2
387,user_0387,36-45,Toys,12
388,user_0388,46-60,Sports,37
389,user_0389,18-25,Books,44
390,user_0390,36-45,Home & Kitchen,22
391,user_0391,46-60,Automotive,17
392,user_0392,26-35,Beauty,46
393,user_0393,18-25,Books,17
394,user_0394,18-25,Automotive,2
395,user_0395,60+,Electronics,39
396,user_0396,18-25,Beauty,22
397,user_0397,36-45,Beauty,4
398,user_0398,26-35,Books,29
399,user_0399,60+,Books,23
400,user_0400,60+,Clothing,6
401,user_0401,26-35,Automotive,21
402,user_0402,26-35,Home & Kitchen,41
403,user_0403,26-35,Electronics,37
404,user_0404,18-25,Beauty,12
405,user_0405,60+,Books,22
406,user_0406,60+,Clothing,31
407,user_0407,36-45,Automotive,34
408,user_0408,46-60,Sports,7
409,user_0409,26-35,Sports,17
410,user_0410,26-35,Sports,28
411,user_0411,26-35,Beauty,2
412,user_0412,46-60,Beauty,43
413,user_0413,18-25,Clothing,36
414,user_0414,36-45,Books,29
415,user_0415,60+,Clothing,40
416,user_0416,36-45,Automotive,36
417,user_0417,18-25,Clothing,39
418,user_0418,36-45,Beauty,34
419,user_0419,60+,Automotive,33
420,user_0420,26-35,Home & Kitchen,47
421,user_0421,46-60,Clothing,35
422,user_0422,46-60,Clothing,17
423,user_0423,36-45,Sports,43
424,user_0424,26-35,Electronics,26
425,user_0425,26-35,Sports,9
426,user_0426,18-25,Automotive,17
427,user_0427,18-25,Electronics,43
428,user_0428,26-35,Electronics,39
429,user_0429,36-45,Clothing,37
430,user_0430,46-60,Home & Kitchen,30
431,user_0431,26-35,Home & Kitchen,19
432,user_0432,60+,Home & Kitchen,49
433,user_0433,60+,Electronics,10
434,user_0434,18-25,Toys,49
435,user_0435,46-60,Beauty,16
436,user_0436,36-45,Automotive,31
437,user_0437,60+,Electronics,23
438,user_0438,60+,Beauty,16
439,user_0439,18-25,Books,25
440,user_0440,46-60,Toys,26
441,user_0441,18-25,Sports,26
442,user_0442,26-35,Automotive,7
443,user_0443,18-25,Toys,26
444,user_0444,60+,Beauty,7
445,user_0445,60+,Toys,9
446,user_0446,36-45,Automotive,8
447,user_0447,26-35,Clothing,23
448,user_0448,60+,Books,31
449,user_0449,46-60,Toys,35
450,user_0450,26-35,Clothing,42
451,user_0451,18-25,Beauty,31
452,user_0452,36-45,Home & Kitchen,45
453,user_0453,26-35,Clothing,37
454,user_0454,36-45,Automotive,26
455,user_0455,46-60,Toys,15
456,user_0456,18-25,Home & Kitchen,29
457,user_0457,18-25,Sports,18
458,user_0458,18-25,Automotive,45
459,user_0459,26-35,Home & Kitchen,2
460,user_0460,36-45,Books,34
461,user_0461,36-45,Toys,13
462,user_0462,60+,Books,32
463,user_0463,36-45,Clothing,39
464,user_0464,46-60,Sports,49
465,user_0465,60+,Beauty,44
466,user_0466,18-25,Automotive,44
467,user_0467,18-25,Books,30
468,user_0468,18-25,Toys,39
469,user_0469,46-60,Sports,1
470,user_0470,18-25,Clothing,45
471,user_0471,26-35,Home & Kitchen,18
472,user_0472,60+,Electronics,48
473,user_0473,18-25,Sports,46
474,user_0474,18-25,Toys,49
475,user_0475,18-25,Automotive,4
476,user_0476,46-60,Clothing,37
477,user_0477,60+,Sports,43
478,user_0478,46-60,Beauty,39
479,user_0479,36-45,Beauty,13
480,user_0480,26-35,Electronics,7
481,user_0481,46-60,Home & Kitchen,8
482,user_0482,46-60,Sports,45
483,user_0483,26-35,Clothing,34
484,user_0484,18-25,Books,41
485,user_0485,18-25,Books,3
486,user_0486,60+,Sports,47
487,user_0487,18-25,Electronics,35
488,user_0488,46-60,Books,49
489,user_0489,60+,Clothing,42
490,user_0490,36-45,Books,18
491,user_0491,18-25,Automotive,3
492,user_0492,36-45,Beauty,13
493,user_0493,60+,Toys,25
494,user_0494,18-25,Home & Kitchen,14
495,user_0495,60+,Books,11
496,user_0496,18-25,Automotive,3
497,user_0497,36-45,Home & Kitchen,29
498,user_0498,18-25,Clothing,25
499,user_0499,26-35,Home & Kitchen,42
500,user_0500,18-25,Toys,40
