user_id,age,gender,location,segment,join_date
U0079,40,M,Riyadh,mid,2024-03-05
U0080,57,Other,Amman,premium,2025-12-15
U0081,38,M,Dubai,mid,2026-01-09
U0082,33,M,Tunis,budget,2024-04-18
U0083,62,F,Cairo,mid,2025-07-06
U0084,35,Other,Tunis,budget,2023-12-26
U0085,64,Other,Amman,budget,2025-05-04
U0086,41,F,Dubai,premium,2025-12-05
U0087,43,M,Cairo,budget,2023-10-03
U0088,42,M,Amman,mid,2025-07-01
U0089,62,F,Tunis,mid,2023-09-21
U0090,58,F,Amman,mid,2025-11-13
U0091,46,M,Dubai,mid,2025-01-31
U0092,32,Other,Beirut,budget,2025-05-16
U0093,62,M,Amman,budget,2024-11-17
U0094,18,F,Amman,mid,2024-05-15
U0095,42,M,Tunis,budget,2023-10-24
U0096,24,F,Tunis,budget,2025-02-16
U0097,26,M,Cairo,budget,2025-09-11
U0098,41,M,Tunis,budget,2025-02-10
U0099,18,M,Riyadh,budget,2025-02-26
U0100,61,F,Dubai,budget,2025-07-25
U0101,25,F,Dubai,mid,2024-04-09
U0102,41,F,Beirut,mid,2025-05-27
U0103,28,Other,Beirut,premium,2024-03-08
U0104,34,M,Dubai,budget,2023-07-11
U0105,25,M,Beirut,budget,2024-03-27
U0106,52,F,Cairo,budget,2024-05-02
U0107,52,M,Tunis,mid,2025-12-13
U0108,50,Other,Dubai,mid,2024-06-11
U0109,22,M,Beirut,budget,2024-05-15
U0110,59,Other,Dubai,premium,2025-09-02
U0111,56,M,Riyadh,budget,2024-08-27
U0112,58,F,Amman,mid,2024-02-09
U0113,45,F,Tunis,mid,2025-06-19
U0114,24,Other,Dubai,premium,2025-09-10
U0115,26,M,Amman,mid,2024-11-08
U0116,25,F,Beirut,premium,2025-02-01
U0117,29,Other,Amman,budget,2025-05-24
U0118,51,F,Tunis,premium,2023-07-23
U0119,50,F,Dubai,budget,2024-05-10
U0120,40,F,Riyadh,premium,2024-03-22
U0121,41,F,Beirut,mid,2024-08-03
U0122,54,F,Dubai,premium,2025-07-15
U0123,52,F,Tunis,mid,2024-03-25
U0124,61,Other,Beirut,mid,2025-03-29
U0125,57,M,Cairo,mid,2023-10-15
U0126,39,M,Amman,mid,2023-12-31
U0127,44,Other,Tunis,budget,2023-12-23
U0128,52,F,Cairo,budget,2025-12-29
U0129,18,F,Dubai,budget,2025-07-05
U0130,52,F,Riyadh,budget,2023-11-06
U0131,54,M,Beirut,premium,2026-01-23
U0132,64,M,Amman,budget,2023-11-23
U0133,31,F,Beirut,premium,2025-04-07
U0134,20,M,Dubai,budget,2025-01-10
U0135,18,F,Beirut,budget,2025-05-26
U0136,22,M,Amman,mid,2025-12-19
U0137,43,Other,Dubai,mid,2025-07-23
U0138,31,Other,Beirut,mid,2023-08-04
U0139,56,F,Riyadh,mid,2023-07-05
U0140,44,F,Tunis,mid,2024-07-24
U0141,26,M,Dubai,budget,2023-09-11
U0142,32,F,Tunis,premium,2024-02-20
U0143,32,F,Dubai,premium,2025-04-08
U0144,43,M,Riyadh,mid,2025-07-22
U0145,59,Other,Tunis,budget,2024-04-24
U0146,30,F,Cairo,mid,2024-10-01
U0147,49,Other,Amman,budget,2025-01-15
U0148,56,F,Cairo,budget,2023-09-03
U0149,49,F,Beirut,budget,2023-08-03
U0150,21,M,Riyadh,mid,2024-05-07
U0151,47,Other,Cairo,premium,2024-11-12
U0152,54,F,Dubai,mid,2025-10-01
U0153,40,M,Beirut,mid,2025-05-29
U0154,56,M,Beirut,mid,2025-10-05
U0155,62,M,Cairo,budget,2025-06-17
U0156,32,F,Cairo,budget,2024-01-24
U0157,60,Other,Riyadh,premium,2024-07-30
U0158,46,M,Amman,budget,2024-08-22
U0159,53,F,Cairo,premium,2025-05-31
U0160,30,M,Cairo,mid,2024-01-22
U0161,49,Other,Tunis,mid,2024-07-06
U0162,24,F,Dubai,mid,2024-12-13
U0163,39,F,Tunis,mid,2023-08-20
U0164,45,F,Tunis,premium,2024-07-07
U0165,19,M,Beirut,premium,2025-01-12
U0166,59,M,Amman,mid,2025-02-19
U0167,62,M,Dubai,budget,2025-07-15
U0168,23,F,Riyadh,mid,2025-10-06
U0169,45,F,Riyadh,premium,2024-09-21
U0170,45,Other,Cairo,budget,2024-10-07
U0171,61,Other,Cairo,mid,2025-11-23
U0172,61,F,Riyadh,mid,2024-01-13
U0173,37,F,Cairo,mid,2026-01-07
U0174,47,Other,Amman,budget,2023-09-27
U0175,28,F,Tunis,mid,2025-11-04
U0176,45,M,Cairo,premium,2025-09-21
U0177,42,F,Beirut,budget,2024-05-23
U0178,56,M,Cairo,budget,2025-09-14
U0179,50,Other,Dubai,premium,2023-12-06
U0180,18,F,Amman,budget,2024-03-30
U0181,44,M,Dubai,premium,2024-12-19
U0182,30,F,Dubai,mid,2024-06-24
U0183,58,F,Beirut,budget,2025-12-21
U0184,20,M,Amman,premium,2025-01-26
U0185,56,M,Amman,mid,2025-01-30
U0186,23,F,Amman,mid,2024-06-24
U0187,25,F,Amman,budget,2024-11-02
U0188,44,F,Amman,mid,2024-09-01
U0189,26,F,Beirut,budget,2025-06-12
U0190,54,F,Cairo,budget,2024-08-07
U0191,50,F,Dubai,premium,2023-09-27
U0192,59,F,Amman,budget,2023-07-05
U0193,61,F,Cairo,mid,2026-02-13
U0194,41,M,Cairo,budget,2024-03-30
U0195,32,M,Dubai,mid,2024-02-17
U0196,49,M,Beirut,budget,2025-10-30
U0197,49,F,Riyadh,premium,2024-03-28
U0198,41,F,Riyadh,mid,2023-09-02
U0199,58,F,Cairo,budget,2024-08-24
U0200,29,M,Tunis,budget,2024-01-18
U0201,56,M,Tunis,budget,2025-05-27
U0202,19,M,Dubai,mid,2023-12-30
U0203,20,M,Riyadh,budget,2024-05-09
U0204,54,F,Cairo,premium,2025-03-13
U0205,34,M,Beirut,mid,2025-11-02
U0206,19,M,Riyadh,budget,2025-04-30
U0207,19,Other,Cairo,mid,2024-12-06
U0208,45,M,Cairo,mid,2025-09-16
U0209,40,F,Amman,budget,2024-11-17
U0210,54,F,Beirut,budget,2026-02-21
U0211,49,M,Amman,budget,2024-02-16
U0212,50,F,Dubai,mid,2023-09-12
U0213,18,F,Amman,mid,2024-02-19
U0214,36,Other,Amman,mid,2025-05-31
U0215,19,M,Riyadh,premium,2024-09-30
U0216,61,Other,Tunis,premium,2024-01-06
U0217,43,F,Cairo,mid,2025-08-26
U0218,49,M,Beirut,premium,2024-09-23
U0219,23,F,Amman,budget,2023-08-05
U0220,49,Other,Beirut,budget,2025-11-08
U0221,21,F,Tunis,budget,2023-09-17
U0222,28,M,Tunis,budget,2024-05-25
U0223,34,F,Amman,mid,2025-04-25
U0224,55,M,Dubai,premium,2023-10-17
U0225,41,M,Amman,budget,2024-05-11
U0226,22,M,Riyadh,budget,2024-09-23
U0227,51,M,Cairo,mid,2024-06-11
U0228,23,M,Dubai,premium,2025-08-05
U0229,39,M,Amman,budget,2025-09-21
U0230,28,F,Beirut,mid,2025-02-07
U0231,33,M,Dubai,budget,2024-01-06
U0232,50,M,Dubai,budget,2025-09-12
U0233,26,F,Amman,premium,2024-08-21
U0234,23,F,Dubai,premium,2023-12-20
U0235,33,F,Beirut,budget,2023-07-26
U0236,46,M,Tunis,premium,2024-08-30
U0237,20,M,Dubai,mid,2023-07-30
U0238,37,M,Tunis,premium,2026-02-24
U0239,53,M,Beirut,mid,2024-06-21
U0240,36,M,Amman,mid,2025-03-30
U0241,43,M,Cairo,mid,2024-10-12
U0242,20,M,Dubai,mid,2026-02-05
U0243,36,M,Cairo,budget,2025-11-02
U0244,37,F,Beirut,budget,2023-07-19
U0245,49,M,Dubai,budget,2025-02-18
U0246,24,M,Tunis,mid,2023-09-09
U0247,58,F,Riyadh,budget,2023-10-27
U0248,50,F,Cairo,mid,2023-11-21
U0249,57,M,Dubai,premium,2025-04-16
U0250,56,F,Cairo,budget,2025-06-24
U0251,35,F,Dubai,mid,2025-12-27
U0252,57,M,Amman,mid,2025-06-23
U0253,18,F,Tunis,premium,2023-09-09
U0254,28,Other,Cairo,budget,2024-07-24
U0255,45,M,Riyadh,mid,2023-07-01
U0256,42,M,Riyadh,premium,2025-12-06
U0257,40,F,Beirut,premium,2025-11-29
U0258,48,F,Dubai,mid,2024-02-06
U0259,47,M,Cairo,mid,2024-10-15
U0260,59,M,Beirut,mid,2023-11-12
U0261,52,M,Cairo,premium,2025-12-16
U0262,24,F,Dubai,mid,2024-01-08
U0263,33,F,Riyadh,budget,2024-08-28
U0264,43,M,Amman,premium,2024-01-02
U0265,19,F,Riyadh,mid,2025-10-19
U0266,18,F,Beirut,mid,2025-10-16
U0267,29,M,Tunis,budget,2024-04-20
U0268,22,M,Amman,mid,2024-10-26
U0269,54,F,Beirut,budget,2023-07-01
U0270,49,F,Dubai,mid,2024-08-11
U0271,26,F,Amman,budget,2025-09-08
U0272,58,F,Beirut,mid,2025-05-29
U0273,52,M,Dubai,premium,2024-09-02
U0274,36,M,Riyadh,budget,2023-09-15
U0275,33,F,Tunis,premium,2024-06-13
U0276,20,M,Dubai,mid,2024-12-18
U0277,37,M,Cairo,premium,2025-07-23
U0278,41,M,Dubai,mid,2023-07-19
U0279,50,M,Dubai,mid,2024-08-21
U0280,41,M,Tunis,mid,2024-01-13
U0281,28,M,Cairo,premium,2024-02-08
U0282,25,M,Beirut,mid,2024-03-20
U0283,53,M,Beirut,budget,2025-08-03
U0284,55,F,Dubai,mid,2024-02-25
U0285,57,F,Cairo,premium,2025-04-11
U0286,37,F,Cairo,mid,2025-01-12
U0287,52,F,Tunis,mid,2024-04-08
U0288,42,F,Riyadh,mid,2024-04-30
U0289,52,M,Beirut,premium,2025-02-07
U0290,42,F,Tunis,budget,2024-12-03
U0291,46,F,Amman,mid,2023-08-18
U0292,35,F,Beirut,budget,2024-09-13
U0293,63,M,Tunis,budget,2024-11-19
U0294,35,M,Beirut,budget,2025-10-24
U0295,19,M,Riyadh,budget,2025-06-16
U0296,52,M,Amman,mid,2025-07-09
U0297,33,F,Riyadh,budget,2025-12-21
U0298,58,F,Amman,mid,2025-03-15
U0299,53,M,Dubai,budget,2026-02-03
U0300,50,Other,Tunis,budget,2024-07-02
U0301,21,F,Amman,budget,2024-08-06
U0302,50,M,Riyadh,budget,2025-07-04
U0303,31,M,Beirut,mid,2024-07-02
U0304,38,M,Amman,mid,2025-07-14
U0305,37,M,Tunis,mid,2026-02-17
U0306,25,M,Amman,mid,2025-12-14
U0307,24,M,Cairo,budget,2024-03-02
U0308,20,M,Beirut,premium,2024-05-19
U0309,34,M,Tunis,mid,2025-12-26
U0310,50,F,Tunis,mid,2025-07-05
U0311,29,M,Dubai,budget,2025-12-17
U0312,39,F,Riyadh,budget,2023-08-12
U0313,39,M,Dubai,budget,2026-01-23
U0314,63,Other,Tunis,budget,2023-09-28
U0315,47,M,Beirut,mid,2025-03-23
U0316,55,M,Amman,mid,2025-12-14
U0317,55,Other,Amman,mid,2024-09-16
U0318,62,F,Beirut,mid,2025-06-26
U0319,25,F,Tunis,premium,2025-05-15
U0320,44,M,Amman,mid,2024-04-10
U0321,44,M,Amman,premium,2024-10-15
U0322,51,F,Amman,budget,2025-07-20
U0323,38,Other,Riyadh,budget,2024-08-21
U0324,47,F,Riyadh,budget,2025-10-12
U0325,50,F,Cairo,mid,2024-02-15
U0326,45,M,Dubai,premium,2023-07-13
U0327,64,F,Beirut,budget,2023-09-05
U0328,50,M,Beirut,premium,2024-07-20
U0329,22,M,Beirut,budget,2024-07-14
U0330,36,M,Cairo,premium,2024-10-28
U0331,21,F,Riyadh,budget,2025-06-21
U0332,52,M,Tunis,budget,2023-12-14
U0333,34,M,Tunis,mid,2024-10-28
U0334,61,F,Cairo,budget,2023-11-21
U0335,45,M,Tunis,budget,2025-01-04
U0336,47,F,Beirut,budget,2025-08-14
U0337,46,M,Dubai,premium,2025-11-20
U0338,63,F,Amman,mid,2025-11-17
U0339,23,F,Riyadh,budget,2024-04-21
U0340,52,M,Riyadh,mid,2024-12-10
U0341,58,M,Cairo,mid,2025-02-27
U0342,54,M,Riyadh,budget,2024-12-18
U0343,41,M,Beirut,mid,2024-12-31
U0344,46,Other,Tunis,budget,2024-11-03
U0345,63,M,Beirut,budget,2023-09-24
U0346,48,F,Cairo,mid,2024-02-09
U0347,52,M,Beirut,budget,2025-12-31
U0348,50,F,Tunis,mid,2024-04-06
U0349,38,F,Dubai,mid,2024-04-26
U0350,49,F,Cairo,budget,2024-05-04
U0351,40,F,Dubai,mid,2025-11-16
U0352,50,M,Amman,budget,2025-12-24
U0353,20,M,Dubai,premium,2025-01-08
U0354,35,Other,Amman,mid,2024-02-10
U0355,42,F,Amman,premium,2025-03-14
U0356,59,Other,Dubai,mid,2023-11-28
U0357,48,M,Cairo,budget,2023-09-26
U0358,20,F,Tunis,mid,2025-11-05
U0359,57,Other,Beirut,premium,2025-06-15
U0360,63,M,Beirut,mid,2025-08-12
U0361,41,M,Tunis,premium,2025-08-14
U0362,49,F,Amman,premium,2024-08-24
U0363,64,F,Amman,budget,2024-11-22
U0364,39,F,Cairo,budget,2025-10-04
U0365,40,M,Riyadh,mid,2024-12-19
U0366,19,F,Dubai,mid,2025-08-21
U0367,44,M,Amman,premium,2025-05-15
U0368,59,M,Beirut,premium,2024-11-08
U0369,19,M,Cairo,budget,2025-06-14
U0370,43,F,Dubai,budget,2023-09-13
U0371,34,F,Cairo,mid,2023-07-25
U0372,57,F,Dubai,budget,2025-12-09
U0373,50,M,Dubai,premium,2024-11-28
U0374,26,F,Tunis,mid,2023-11-20
U0375,60,M,Amman,mid,2023-09-26
U0376,56,F,Cairo,budget,2023-10-02
U0377,46,M,Cairo,mid,2024-08-10
U0378,59,M,Tunis,mid,2025-11-16
U0379,43,F,Beirut,mid,2026-01-04
U0380,52,M,Beirut,budget,2024-04-28
U0381,42,F,Amman,mid,2024-08-20
U0382,41,F,Amman,premium,2023-10-22
U0383,30,M,Riyadh,budget,2026-02-09
U0384,24,F,Tunis,budget,2025-11-21
U0385,53,M,Beirut,budget,2023-07-22
U0386,62,F,Dubai,mid,2024-01-15
U0387,37,Other,Cairo,mid,2023-10-09
U0388,18,F,Amman,mid,2025-06-27
U0389,25,M,Cairo,budget,2025-09-07
U0390,63,Other,Cairo,budget,2025-01-04
U0391,33,F,Riyadh,mid,2024-10-15
U0392,31,M,Beirut,mid,2024-10-20
U0393,29,M,Amman,premium,2025-07-21
U0394,40,F,Cairo,budget,2023-09-23
U0395,32,F,Amman,mid,2025-01-10
U0396,45,F,Dubai,mid,2023-08-15
U0397,51,F,Riyadh,mid,2025-12-26
U0398,19,F,Dubai,mid,2025-09-09
U0399,49,M,Amman,mid,2025-02-01
U0400,40,M,Amman,premium,2026-02-22
U0401,39,M,Beirut,budget,2025-01-21
U0402,42,F,Cairo,budget,2025-05-29
U0403,39,M,Cairo,mid,2023-07-22
U0404,39,F,Dubai,mid,2023-12-15
U0405,59,F,Riyadh,budget,2023-12-14
U0406,23,F,Tunis,budget,2024-11-16
U0407,32,M,Cairo,budget,2025-05-08
U0408,60,F,Beirut,premium,2024-12-18
U0409,54,M,Dubai,budget,2024-03-13
U0410,50,F,Dubai,budget,2024-02-07
U0411,25,M,Tunis,budget,2023-12-15
U0412,61,M,Beirut,budget,2024-08-04
U0413,61,F,Riyadh,budget,2024-04-18
U0414,22,M,Beirut,mid,2024-02-20
U0415,56,M,Riyadh,budget,2024-10-14
U0416,21,F,Beirut,premium,2025-09-19
U0417,23,F,Beirut,budget,2025-08-14
U0418,62,F,Amman,mid,2025-04-27
U0419,49,F,Dubai,premium,2025-07-17
U0420,47,F,Beirut,mid,2025-12-27
U0421,64,M,Tunis,mid,2024-07-11
U0422,52,M,Beirut,budget,2024-02-02
U0423,57,M,Cairo,budget,2024-08-18
U0424,33,Other,Dubai,mid,2025-12-24
U0425,30,F,Cairo,premium,2024-01-21
U0426,59,M,Dubai,mid,2025-04-09
U0427,47,F,Cairo,mid,2025-12-28
U0428,36,Other,Beirut,mid,2026-01-04
U0429,34,M,Beirut,mid,2024-07-06
U0430,36,F,Amman,budget,2024-10-24
U0431,45,F,Tunis,mid,2024-09-28
U0432,43,F,Cairo,premium,2023-07-29
U0433,54,M,Riyadh,budget,2023-10-05
U0434,43,F,Amman,mid,2024-08-30
U0435,40,Other,Cairo,budget,2025-09-16
U0436,26,F,Cairo,mid,2025-12-28
U0437,29,F,Amman,budget,2024-09-22
U0438,18,Other,Beirut,mid,2025-12-04
U0439,18,F,Cairo,mid,2023-10-07
U0440,64,M,Beirut,budget,2025-08-18
U0441,51,F,Amman,mid,2025-12-16
U0442,49,F,Beirut,mid,2024-06-25
U0443,42,M,Dubai,premium,2025-12-17
U0444,57,F,Riyadh,budget,2024-04-04
U0445,62,Other,Cairo,budget,2023-09-26
U0446,18,Other,Tunis,budget,2025-06-29
U0447,33,F,Riyadh,premium,2025-01-07
U0448,56,M,Beirut,premium,2025-10-25
U0449,22,Other,Cairo,mid,2023-07-06
U0450,39,F,Beirut,premium,2023-08-28
U0451,46,M,Dubai,mid,2024-07-21
U0452,20,Other,Amman,mid,2025-06-17
U0453,29,F,Cairo,budget,2024-07-12
U0454,43,F,Dubai,mid,2024-06-26
U0455,33,F,Dubai,budget,2026-01-15
U0456,54,M,Cairo,premium,2024-05-31
U0457,39,M,Beirut,mid,2025-12-03
U0458,46,M,Tunis,mid,2024-12-22
U0459,31,F,Dubai,budget,2024-04-22
U0460,45,M,Riyadh,budget,2024-07-07
U0461,22,M,Dubai,budget,2024-07-26
U0462,64,M,Tunis,budget,2024-09-07
U0463,47,F,Beirut,budget,2025-04-07
U0464,63,Other,Beirut,premium,2023-07-13
U0465,22,M,Riyadh,mid,2025-06-02
U0466,29,M,Dubai,budget,2025-07-30
U0467,33,F,Beirut,budget,2024-04-10
U0468,43,F,Tunis,mid,2024-02-22
U0469,43,M,Cairo,mid,2025-04-09
U0470,38,F,Amman,mid,2025-06-25
U0471,56,M,Amman,premium,2025-05-29
U0472,53,M,Amman,mid,2025-01-15
U0473,50,F,Dubai,premium,2025-10-13
U0474,47,M,Riyadh,premium,2024-04-08
U0475,54,Other,Beirut,budget,2024-05-05
U0476,40,M,Cairo,premium,2025-04-23
U0477,27,F,Tunis,budget,2024-11-13
U0478,22,F,Cairo,premium,2025-04-07
U0479,53,M,Tunis,budget,2023-07-19
U0480,51,F,Dubai,premium,2024-01-17
U0481,48,M,Amman,premium,2023-07-12
U0482,27,Other,Dubai,premium,2025-12-12
U0483,36,M,Riyadh,mid,2026-02-15
U0484,49,M,Riyadh,budget,2024-11-12
U0485,18,M,Tunis,budget,2024-05-29
U0486,22,Other,Beirut,mid,2024-07-28
U0487,62,F,Beirut,budget,2025-11-14
U0488,21,F,Tunis,mid,2025-12-11
U0489,33,M,Riyadh,budget,2024-08-23
U0490,41,F,Riyadh,premium,2025-07-21
U0491,33,M,Riyadh,mid,2024-09-24
U0492,19,F,Dubai,premium,2025-05-29
U0493,45,M,Riyadh,budget,2025-10-12
U0494,49,M,Cairo,premium,2023-07-15
U0495,44,M,Amman,premium,2025-03-04
U0496,37,F,Riyadh,mid,2023-09-06
U0497,41,F,Tunis,mid,2025-12-16
U0498,29,M,Amman,mid,2023-09-08
U0499,52,F,Dubai,budget,2025-06-19
U0500,50,F,Tunis,mid,2025-02-11
