user_id,product_id,quantity,total_price,purchase_date
U0015,P0056,3,4534.44,2026-01-17
U0024,P0033,5,469.75,2025-10-25
U0235,P0018,5,197.45,2026-03-17
U0047,P0117,2,67.68,2026-01-01
U0339,P0034,3,173.79,2026-02-27
U0452,P0096,1,17.27,2025-08-13
U0417,P0185,4,287.6,2025-11-13
U0339,P0140,4,326.24,2026-02-01
U0426,P0122,4,117.84,2025-10-12
U0423,P0067,4,1359.6,2026-01-30
U0319,P0154,2,111.5,2025-11-10
U0026,P0099,3,2365.68,2025-05-02
U0278,P0059,5,1834.4,2025-08-12
U0079,P0174,4,4547.76,2025-05-07
U0076,P0087,5,1310.3,2026-02-21
U0093,P0040,3,137.01,2025-05-23
U0021,P0150,3,67.86,2025-09-09
U0202,P0195,5,594.35,2025-11-01
U0365,P0066,5,338.2,2026-01-09
U0485,P0064,4,185.52,2025-11-18
U0322,P0049,4,1456.92,2025-06-05
U0394,P0020,2,696.88,2026-02-02
U0067,P0022,1,26.26,2026-03-01
U0062,P0136,4,759.48,2025-07-06
U0022,P0061,3,130.92,2025-04-07
U0284,P0107,5,827.9,2026-02-28
U0343,P0019,4,232.0,2026-02-28
U0442,P0125,3,599.76,2025-04-04
U0019,P0162,2,1597.52,2025-05-23
U0078,P0091,1,37.32,2025-05-29
U0498,P0159,5,4436.4,2025-11-17
U0356,P0091,2,74.64,2025-05-23
U0163,P0189,1,32.28,2025-07-16
U0053,P0045,2,64.7,2026-01-12
U0464,P0127,4,133.76,2025-11-15
U0128,P0057,5,1396.05,2025-08-05
U0094,P0042,1,46.44,2025-09-22
U0439,P0075,2,23.16,2026-01-11
U0058,P0097,2,246.7,2025-09-14
U0348,P0083,3,46.11,2025-05-27
U0451,P0166,4,539.88,2025-12-17
U0466,P0050,1,34.74,2025-04-05
U0277,P0051,2,206.74,2025-10-28
U0151,P0078,4,3289.32,2026-03-16
U0157,P0129,5,911.45,2025-07-13
U0261,P0154,5,278.75,2025-10-07
U0007,P0070,4,368.84,2026-03-15
U0412,P0043,1,37.23,2025-09-15
U0315,P0175,4,295.24,2025-07-09
U0351,P0090,1,56.36,2025-05-16
U0393,P0081,2,670.24,2025-04-10
U0230,P0128,3,2251.95,2025-05-10
U0360,P0047,4,1168.84,2025-08-19
U0325,P0169,2,3135.84,2026-01-03
U0486,P0154,3,167.25,2025-08-25
U0120,P0069,2,270.72,2025-08-06
U0472,P0128,4,3002.6,2025-10-13
U0407,P0044,2,263.14,2025-09-23
U0291,P0040,1,45.67,2025-08-23
U0042,P0103,3,542.73,2025-06-21
U0043,P0037,5,1423.05,2026-01-16
U0015,P0168,3,5329.98,2025-06-05
U0372,P0041,2,246.76,2025-05-26
U0147,P0030,1,28.31,2025-10-11
U0474,P0197,4,347.96,2025-12-04
U0022,P0039,5,308.7,2025-10-14
U0162,P0194,5,76.55,2025-09-01
U0120,P0112,2,410.12,2025-07-31
U0343,P0185,2,143.8,2025-04-29
U0210,P0045,5,161.75,2025-10-25
U0341,P0196,2,979.5,2026-03-04
U0221,P0097,1,123.35,2025-10-05
U0340,P0067,5,1699.5,2025-07-05
U0014,P0166,5,674.85,2025-10-03
U0050,P0050,2,69.48,2026-01-30
U0115,P0168,5,8883.3,2026-03-05
U0023,P0070,5,461.05,2025-06-25
U0437,P0058,2,488.74,2026-02-21
U0420,P0165,1,1390.86,2025-12-25
U0436,P0039,1,61.74,2025-12-27
U0401,P0020,3,1045.32,2025-10-25
U0262,P0170,1,21.41,2025-03-26
U0191,P0138,2,894.74,2025-08-15
U0279,P0107,5,827.9,2025-07-13
U0206,P0077,1,184.58,2026-01-31
U0391,P0150,1,22.62,2025-06-27
U0168,P0068,5,7416.8,2025-06-23
U0030,P0100,3,1326.09,2025-10-20
U0385,P0035,1,287.04,2026-03-04
U0407,P0100,2,884.06,2025-06-07
U0476,P0129,4,729.16,2025-08-11
U0327,P0135,4,1584.36,2025-11-20
U0426,P0081,5,1675.6,2025-10-09
U0398,P0189,4,129.12,2025-05-03
U0206,P0073,4,502.04,2025-10-17
U0397,P0191,1,23.6,2025-05-24
U0223,P0186,2,139.48,2025-12-04
U0152,P0169,2,3135.84,2026-01-27
U0313,P0037,4,1138.44,2026-01-10
U0092,P0020,2,696.88,2025-12-22
U0009,P0079,1,437.59,2026-03-02
U0146,P0042,5,232.2,2025-11-16
U0273,P0056,1,1511.48,2025-11-01
U0376,P0125,5,999.6,2025-06-08
U0396,P0180,1,88.25,2026-02-07
U0242,P0158,4,156.64,2026-01-06
U0423,P0195,4,475.48,2025-05-28
U0313,P0153,5,1686.7,2025-11-03
U0295,P0177,5,75.0,2026-02-04
U0334,P0042,5,232.2,2025-04-02
U0102,P0029,5,366.9,2026-03-15
U0030,P0057,4,1116.84,2025-08-21
U0210,P0006,2,131.06,2025-03-29
U0002,P0016,1,90.39,2025-09-28
U0480,P0051,2,206.74,2025-06-22
U0173,P0050,5,173.7,2025-09-04
U0097,P0025,1,8.81,2025-10-12
U0324,P0012,3,132.45,2025-12-24
U0139,P0063,5,351.1,2025-11-25
U0282,P0182,1,381.3,2025-09-25
U0284,P0177,2,30.0,2025-08-24
U0432,P0158,2,78.32,2025-04-22
U0399,P0145,5,763.2,2026-02-22
U0031,P0116,4,388.96,2025-06-25
U0358,P0111,2,74.76,2025-08-03
U0388,P0112,2,410.12,2025-11-29
U0091,P0143,2,120.4,2025-07-12
U0313,P0099,2,1577.12,2025-12-06
U0418,P0124,4,2235.48,2026-02-11
U0259,P0087,1,262.06,2025-05-06
U0494,P0139,4,1370.72,2025-12-25
U0204,P0117,1,33.84,2025-11-19
U0223,P0142,3,2880.69,2026-01-29
U0001,P0020,2,696.88,2026-01-05
U0340,P0130,2,179.34,2025-12-13
U0461,P0058,5,1221.85,2026-01-06
U0051,P0173,5,2349.5,2025-07-08
U0375,P0058,3,733.11,2025-12-20
U0237,P0189,5,161.4,2026-02-21
U0271,P0123,3,171.87,2025-03-28
U0481,P0196,1,489.75,2025-08-30
U0488,P0124,4,2235.48,2025-09-09
U0049,P0167,1,1727.86,2025-08-21
U0387,P0162,3,2396.28,2025-06-01
U0086,P0002,5,466.3,2025-07-01
U0052,P0168,3,5329.98,2025-11-19
U0395,P0020,5,1742.2,2026-01-19
U0240,P0156,4,2460.64,2025-08-28
U0060,P0118,5,666.9,2025-04-04
U0057,P0091,5,186.6,2025-08-23
U0297,P0137,2,34.94,2025-06-21
U0355,P0077,3,553.74,2025-04-21
U0255,P0046,1,187.29,2026-01-07
U0360,P0101,4,788.0,2025-09-18
U0357,P0103,5,904.55,2025-09-10
U0392,P0044,5,657.85,2025-09-25
U0295,P0025,2,17.62,2025-10-11
U0230,P0053,3,3425.31,2025-05-14
U0260,P0152,5,1229.2,2026-01-01
U0176,P0084,2,20.42,2025-05-21
U0140,P0172,4,429.72,2025-05-08
U0326,P0003,4,4437.12,2025-10-24
U0454,P0035,5,1435.2,2025-05-18
U0012,P0114,3,142.65,2025-05-08
U0244,P0037,5,1423.05,2025-08-27
U0217,P0152,3,737.52,2026-02-21
U0392,P0113,5,186.75,2025-05-13
U0203,P0125,1,199.92,2025-06-11
U0002,P0142,5,4801.15,2025-08-03
U0158,P0176,4,56.4,2025-11-15
U0287,P0091,5,186.6,2025-06-06
U0146,P0104,3,33.36,2026-02-15
U0489,P0131,2,423.9,2025-05-18
U0411,P0130,3,269.01,2026-01-27
U0211,P0119,2,3610.18,2025-10-29
U0430,P0118,5,666.9,2025-05-07
U0176,P0053,4,4567.08,2025-06-01
U0275,P0137,1,17.47,2025-09-12
U0150,P0199,5,549.5,2025-06-25
U0015,P0068,3,4450.08,2025-10-15
U0006,P0155,2,984.42,2025-04-20
U0328,P0132,4,6703.04,2026-03-20
U0168,P0044,1,131.57,2026-03-09
U0084,P0103,2,361.82,2025-08-03
U0021,P0102,4,497.96,2025-10-28
U0284,P0155,1,492.21,2026-03-16
U0431,P0140,2,163.12,2025-11-07
U0274,P0065,3,358.59,2025-07-02
U0054,P0198,2,890.94,2026-03-25
U0285,P0139,5,1713.4,2025-06-14
U0098,P0171,1,404.99,2025-10-08
U0248,P0079,5,2187.95,2025-06-16
U0122,P0159,5,4436.4,2025-07-26
U0135,P0191,1,23.6,2025-06-15
U0178,P0107,2,331.16,2026-03-18
U0077,P0115,3,222.18,2026-03-19
U0025,P0001,2,1211.46,2026-03-02
U0348,P0089,4,681.2,2025-04-12
U0207,P0027,5,2086.15,2025-05-24
U0183,P0166,2,269.94,2026-03-17
U0467,P0092,4,1062.28,2025-10-27
U0050,P0143,3,180.6,2025-06-09
U0099,P0113,5,186.75,2025-04-19
U0433,P0076,4,1841.8,2025-08-08
U0292,P0014,5,4454.1,2025-07-23
U0468,P0185,1,71.9,2025-04-25
U0061,P0136,4,759.48,2026-01-02
U0213,P0165,1,1390.86,2026-03-10
U0058,P0162,2,1597.52,2025-08-19
U0191,P0177,1,15.0,2026-03-01
U0119,P0070,3,276.63,2025-10-21
U0487,P0065,2,239.06,2025-05-22
U0305,P0012,4,176.6,2025-07-21
U0141,P0171,3,1214.97,2025-08-21
U0287,P0103,3,542.73,2025-12-31
U0155,P0010,4,1867.6,2026-01-12
U0404,P0200,2,257.46,2026-01-25
U0166,P0089,5,851.5,2025-05-24
U0224,P0123,2,114.58,2025-10-15
U0478,P0109,2,281.0,2025-12-21
U0481,P0047,1,292.21,2025-05-18
U0005,P0085,2,78.24,2025-12-05
U0478,P0163,3,2487.96,2025-08-12
U0407,P0008,3,2013.54,2025-07-13
U0158,P0123,4,229.16,2025-10-21
U0278,P0074,3,1427.94,2025-09-16
U0306,P0058,5,1221.85,2025-08-14
U0168,P0044,1,131.57,2025-11-27
U0274,P0058,3,733.11,2026-03-22
U0251,P0021,2,1708.76,2025-10-29
U0171,P0187,3,821.76,2025-12-04
U0053,P0043,5,186.15,2026-02-25
U0002,P0190,2,3459.84,2025-09-05
U0066,P0169,2,3135.84,2026-02-07
U0477,P0018,4,157.96,2025-11-24
U0473,P0200,2,257.46,2025-05-05
U0497,P0119,4,7220.36,2026-01-04
U0218,P0198,3,1336.41,2025-06-24
U0329,P0140,2,163.12,2025-05-13
U0178,P0143,3,180.6,2025-03-26
U0346,P0083,5,76.85,2025-10-10
U0088,P0047,5,1461.05,2025-04-17
U0157,P0044,3,394.71,2026-01-13
U0365,P0081,1,335.12,2025-08-30
U0060,P0129,3,546.87,2025-07-18
U0189,P0158,1,39.16,2025-08-08
U0035,P0015,3,1125.21,2026-02-27
U0271,P0164,1,30.66,2025-09-21
U0158,P0154,1,55.75,2025-11-13
U0230,P0117,3,101.52,2025-11-08
U0242,P0059,3,1100.64,2025-05-03
U0110,P0092,2,531.14,2025-10-24
U0225,P0136,3,569.61,2026-01-27
U0427,P0119,1,1805.09,2025-09-24
U0298,P0077,5,922.9,2025-08-02
U0103,P0067,3,1019.7,2025-05-21
U0105,P0010,3,1400.7,2025-11-27
U0251,P0131,5,1059.75,2026-03-10
U0114,P0050,1,34.74,2025-06-27
U0112,P0108,1,808.45,2026-02-18
U0353,P0052,2,37.96,2025-04-30
U0267,P0154,2,111.5,2025-08-19
U0480,P0010,5,2334.5,2025-07-26
U0260,P0137,2,34.94,2025-06-13
U0035,P0091,2,74.64,2025-07-23
U0279,P0122,2,58.92,2026-03-21
U0147,P0143,4,240.8,2025-12-21
U0162,P0176,1,14.1,2025-10-16
U0093,P0032,4,260.96,2025-04-05
U0157,P0105,3,24.99,2025-04-21
U0109,P0084,2,20.42,2025-07-21
U0416,P0132,1,1675.76,2026-02-02
U0263,P0145,1,152.64,2025-09-24
U0218,P0176,4,56.4,2025-12-19
U0150,P0072,4,254.24,2025-07-14
U0045,P0189,4,129.12,2025-08-11
U0381,P0097,2,246.7,2025-05-26
U0415,P0102,5,622.45,2026-02-20
U0159,P0058,2,488.74,2025-09-04
U0070,P0151,5,267.3,2025-06-04
U0132,P0097,4,493.4,2025-11-11
U0498,P0088,1,34.62,2025-05-17
U0301,P0148,5,115.35,2026-03-11
U0354,P0010,1,466.9,2026-03-01
U0273,P0153,5,1686.7,2025-10-02
U0246,P0059,5,1834.4,2026-03-17
U0273,P0060,3,1208.85,2026-01-01
U0049,P0181,1,324.12,2025-06-22
U0305,P0105,5,41.65,2025-10-28
U0464,P0074,2,951.96,2025-04-26
U0151,P0100,3,1326.09,2025-07-05
U0398,P0133,3,315.24,2025-05-12
U0385,P0172,5,537.15,2025-08-03
U0299,P0095,4,1968.08,2025-12-28
U0288,P0095,4,1968.08,2025-10-08
U0326,P0182,5,1906.5,2025-09-28
U0387,P0134,2,919.72,2025-07-03
U0380,P0029,5,366.9,2026-02-27
U0092,P0037,1,284.61,2025-08-12
U0382,P0150,4,90.48,2025-06-23
U0312,P0170,1,21.41,2026-01-14
U0154,P0136,5,949.35,2025-12-19
U0328,P0156,4,2460.64,2026-02-12
U0237,P0004,3,928.47,2025-06-01
U0271,P0077,3,553.74,2025-10-08
U0416,P0026,3,1913.82,2025-12-10
U0218,P0128,2,1501.3,2025-07-01
U0201,P0134,1,459.86,2026-02-11
U0094,P0186,2,139.48,2025-05-03
U0016,P0054,5,219.95,2025-07-11
U0175,P0193,4,1689.32,2025-06-24
U0059,P0199,1,109.9,2025-06-03
U0126,P0157,4,624.04,2025-06-23
U0041,P0071,3,106.98,2025-06-03
U0006,P0006,5,327.65,2025-04-23
U0470,P0185,5,359.5,2025-05-07
U0434,P0043,1,37.23,2025-08-10
U0240,P0148,1,23.07,2025-09-17
U0162,P0038,5,175.85,2025-08-20
U0474,P0109,5,702.5,2025-12-09
U0114,P0096,1,17.27,2025-05-08
U0425,P0169,3,4703.76,2025-07-10
U0276,P0193,1,422.33,2025-07-31
U0493,P0192,1,1515.96,2025-04-17
U0164,P0050,2,69.48,2025-04-15
U0203,P0006,1,65.53,2026-01-22
U0295,P0062,5,441.7,2026-02-13
U0006,P0064,5,231.9,2026-01-20
U0437,P0147,4,1261.36,2025-10-19
U0069,P0166,3,404.91,2025-09-28
U0063,P0063,4,280.88,2026-03-04
U0294,P0016,5,451.95,2025-10-09
U0424,P0137,1,17.47,2025-07-11
U0368,P0032,1,65.24,2025-10-31
U0168,P0016,2,180.78,2025-10-23
U0109,P0183,4,575.68,2025-12-10
U0206,P0018,3,118.47,2025-04-03
U0408,P0136,4,759.48,2025-12-10
U0195,P0194,4,61.24,2026-01-13
U0469,P0113,1,37.35,2025-12-04
U0354,P0090,5,281.8,2025-05-23
U0206,P0146,2,109.58,2025-12-08
U0181,P0062,5,441.7,2026-02-23
U0361,P0002,3,279.78,2025-06-20
U0165,P0193,4,1689.32,2026-02-07
U0188,P0163,3,2487.96,2025-08-07
U0341,P0064,1,46.38,2025-04-26
U0172,P0099,4,3154.24,2025-11-23
U0300,P0125,5,999.6,2025-12-20
U0183,P0089,1,170.3,2026-02-02
U0195,P0075,2,23.16,2025-09-05
U0490,P0174,5,5684.7,2026-03-04
U0338,P0035,5,1435.2,2025-11-23
U0242,P0125,2,399.84,2025-08-04
U0015,P0041,5,616.9,2025-05-25
U0216,P0197,4,347.96,2025-08-28
U0003,P0088,2,69.24,2025-10-25
U0091,P0134,1,459.86,2025-09-13
U0414,P0066,3,202.92,2026-02-18
U0419,P0181,4,1296.48,2026-02-14
U0018,P0027,5,2086.15,2025-04-03
U0237,P0083,2,30.74,2025-10-05
U0275,P0163,3,2487.96,2025-08-28
U0425,P0068,1,1483.36,2025-09-15
U0494,P0032,1,65.24,2025-12-19
U0343,P0144,5,675.9,2026-03-25
U0070,P0126,2,1336.56,2026-03-21
U0136,P0037,4,1138.44,2025-08-23
U0107,P0109,2,281.0,2025-07-08
U0447,P0027,3,1251.69,2025-05-05
U0133,P0174,3,3410.82,2025-08-05
U0060,P0136,5,949.35,2025-11-28
U0304,P0082,2,171.42,2026-03-14
U0295,P0106,5,464.25,2026-03-03
U0215,P0127,4,133.76,2025-11-12
U0356,P0194,5,76.55,2025-05-09
U0495,P0178,1,75.05,2025-06-07
U0089,P0045,5,161.75,2025-06-24
U0391,P0072,5,317.8,2025-07-08
U0233,P0196,3,1469.25,2025-10-13
U0387,P0090,1,56.36,2025-03-29
U0122,P0197,3,260.97,2025-06-23
U0384,P0117,2,67.68,2025-07-17
U0064,P0117,3,101.52,2025-12-15
U0011,P0165,4,5563.44,2025-06-15
U0492,P0144,1,135.18,2026-01-30
U0388,P0099,3,2365.68,2026-03-08
U0104,P0079,2,875.18,2025-05-27
U0258,P0195,5,594.35,2026-02-20
U0260,P0127,2,66.88,2025-06-18
U0241,P0114,3,142.65,2025-07-06
U0114,P0188,2,189.44,2025-12-06
U0208,P0073,4,502.04,2025-08-07
U0008,P0065,1,119.53,2025-11-26
U0368,P0003,5,5546.4,2026-03-19
U0319,P0029,3,220.14,2025-12-17
U0263,P0164,4,122.64,2026-03-14
U0096,P0140,2,163.12,2025-09-04
U0069,P0090,3,169.08,2025-12-30
U0497,P0011,3,755.97,2026-02-19
U0336,P0044,2,263.14,2026-02-10
U0313,P0009,3,139.8,2025-08-07
U0237,P0035,1,287.04,2025-11-08
U0389,P0072,1,63.56,2026-03-15
U0029,P0182,4,1525.2,2025-04-06
U0303,P0181,3,972.36,2026-02-02
U0290,P0056,2,3022.96,2025-11-07
U0191,P0200,2,257.46,2025-06-16
U0330,P0020,1,348.44,2025-05-11
U0248,P0183,5,719.6,2025-10-18
U0051,P0163,2,1658.64,2026-01-11
U0385,P0071,5,178.3,2025-07-30
U0015,P0151,5,267.3,2025-07-25
U0078,P0191,4,94.4,2025-11-15
U0444,P0148,4,92.28,2025-12-11
U0094,P0046,3,561.87,2026-02-13
U0254,P0077,2,369.16,2025-12-21
U0149,P0004,3,928.47,2025-04-04
U0331,P0173,2,939.8,2025-12-27
U0215,P0026,1,637.94,2025-06-25
U0425,P0160,1,48.18,2026-03-07
U0099,P0079,4,1750.36,2025-06-29
U0221,P0026,4,2551.76,2025-12-05
U0026,P0122,1,29.46,2026-01-08
U0280,P0103,4,723.64,2025-04-04
U0335,P0044,1,131.57,2026-01-07
U0399,P0009,1,46.6,2025-05-25
U0172,P0200,2,257.46,2025-09-06
U0458,P0107,2,331.16,2026-02-18
U0293,P0093,2,29.08,2025-08-28
U0491,P0140,5,407.8,2026-03-10
U0006,P0087,4,1048.24,2025-07-25
U0310,P0081,1,335.12,2026-02-23
U0050,P0127,2,66.88,2026-01-15
U0171,P0145,1,152.64,2026-03-12
U0409,P0119,2,3610.18,2025-05-14
U0237,P0023,2,115.42,2026-03-08
U0336,P0116,2,194.48,2026-01-02
U0048,P0028,2,8.24,2025-06-22
U0417,P0098,5,92.95,2026-03-04
U0381,P0131,4,847.8,2026-02-15
U0336,P0100,4,1768.12,2026-01-12
U0096,P0031,1,980.0,2025-11-16
U0162,P0182,3,1143.9,2025-08-29
U0406,P0029,4,293.52,2026-01-28
U0292,P0043,5,186.15,2026-02-18
U0243,P0002,4,373.04,2025-11-14
U0157,P0063,4,280.88,2026-02-26
U0075,P0058,3,733.11,2025-10-26
U0439,P0034,2,115.86,2025-09-22
U0074,P0024,4,1821.84,2026-03-18
U0074,P0088,2,69.24,2025-12-06
U0467,P0151,3,160.38,2026-02-11
U0073,P0188,1,94.72,2025-05-31
U0140,P0079,4,1750.36,2025-07-26
U0453,P0047,4,1168.84,2025-05-14
U0012,P0054,2,87.98,2025-08-22
U0329,P0161,3,2163.48,2025-10-15
U0049,P0058,2,488.74,2025-07-28
U0210,P0021,4,3417.52,2025-05-21
U0419,P0077,5,922.9,2026-03-13
U0497,P0174,2,2273.88,2025-11-07
U0486,P0089,3,510.9,2025-05-30
U0277,P0090,1,56.36,2025-09-11
U0019,P0034,1,57.93,2026-01-30
U0295,P0171,1,404.99,2025-10-13
U0490,P0138,5,2236.85,2026-02-07
U0088,P0111,5,186.9,2025-08-30
U0388,P0180,3,264.75,2025-05-19
U0411,P0138,4,1789.48,2025-11-15
U0246,P0143,4,240.8,2025-07-05
U0346,P0108,2,1616.9,2025-12-06
U0238,P0098,1,18.59,2026-03-21
U0257,P0135,3,1188.27,2025-10-17
U0234,P0067,1,339.9,2025-07-07
U0384,P0060,4,1611.8,2025-04-23
U0286,P0023,5,288.55,2026-01-28
U0293,P0009,4,186.4,2025-10-27
U0318,P0146,2,109.58,2026-02-10
U0224,P0077,1,184.58,2026-02-28
U0207,P0147,5,1576.7,2025-12-12
U0202,P0156,2,1230.32,2025-12-14
U0403,P0084,2,20.42,2025-11-03
U0277,P0069,5,676.8,2025-08-14
U0139,P0115,1,74.06,2025-07-10
U0081,P0031,2,1960.0,2025-06-05
U0495,P0136,4,759.48,2025-10-13
U0141,P0111,2,74.76,2026-01-09
U0366,P0003,2,2218.56,2026-02-20
U0086,P0052,4,75.92,2025-04-08
U0481,P0191,2,47.2,2026-03-18
U0184,P0085,1,39.12,2025-12-09
U0390,P0056,1,1511.48,2026-02-22
U0011,P0005,5,4920.05,2025-07-03
U0193,P0064,3,139.14,2025-08-31
U0233,P0062,5,441.7,2026-01-28
U0314,P0002,1,93.26,2025-07-04
U0267,P0147,5,1576.7,2026-02-07
U0063,P0065,1,119.53,2025-08-30
U0409,P0001,1,605.73,2025-06-02
U0489,P0024,4,1821.84,2025-06-08
U0386,P0190,2,3459.84,2025-11-25
U0072,P0176,4,56.4,2025-12-12
U0479,P0117,5,169.2,2025-04-15
U0273,P0198,5,2227.35,2025-08-02
U0379,P0184,5,205.6,2026-03-03
U0199,P0003,5,5546.4,2025-10-04
U0154,P0140,1,81.56,2025-06-18
U0218,P0123,3,171.87,2025-09-08
U0126,P0011,1,251.99,2026-03-14
U0472,P0153,5,1686.7,2025-07-05
U0142,P0176,2,28.2,2025-11-18
U0223,P0031,1,980.0,2025-11-20
U0488,P0115,1,74.06,2026-02-04
U0268,P0022,3,78.78,2026-02-06
U0340,P0155,5,2461.05,2025-04-29
U0190,P0178,3,225.15,2025-10-08
U0257,P0037,5,1423.05,2025-10-18
U0077,P0005,2,1968.02,2025-05-04
U0134,P0171,1,404.99,2026-02-18
U0186,P0053,3,3425.31,2025-11-23
U0143,P0106,4,371.4,2026-03-10
U0229,P0083,4,61.48,2025-06-04
U0311,P0153,3,1012.02,2025-10-31
U0298,P0181,3,972.36,2025-08-30
U0222,P0114,2,95.1,2026-02-26
U0049,P0015,5,1875.35,2026-01-14
U0137,P0165,1,1390.86,2026-01-13
U0362,P0198,5,2227.35,2026-02-07
U0353,P0130,2,179.34,2026-01-14
U0335,P0057,5,1396.05,2025-08-09
U0306,P0197,3,260.97,2026-03-25
U0077,P0101,2,394.0,2026-03-08
U0272,P0089,5,851.5,2026-02-18
U0255,P0068,3,4450.08,2026-01-15
U0240,P0059,3,1100.64,2025-05-03
U0498,P0050,4,138.96,2025-10-17
U0082,P0057,3,837.63,2025-08-05
U0009,P0003,3,3327.84,2026-02-09
U0082,P0159,1,887.28,2025-06-12
U0487,P0036,5,36.85,2025-03-31
U0170,P0028,5,20.6,2026-01-25
U0352,P0108,1,808.45,2025-05-08
U0091,P0162,3,2396.28,2025-09-29
U0290,P0005,3,2952.03,2025-04-19
U0444,P0102,1,124.49,2026-03-09
U0032,P0119,5,9025.45,2025-12-27
U0113,P0015,3,1125.21,2025-08-19
U0210,P0007,1,84.05,2026-02-10
U0066,P0144,2,270.36,2025-07-01
U0074,P0118,1,133.38,2026-03-10
U0046,P0186,2,139.48,2025-12-13
U0463,P0033,5,469.75,2025-05-08
U0219,P0018,3,118.47,2026-02-08
U0065,P0008,3,2013.54,2025-06-26
U0367,P0096,1,17.27,2025-07-14
U0377,P0110,4,754.6,2025-10-10
U0115,P0198,3,1336.41,2025-10-17
U0196,P0186,1,69.74,2025-10-20
U0336,P0046,2,374.58,2025-08-12
U0215,P0057,3,837.63,2025-09-10
U0423,P0007,1,84.05,2025-05-11
U0046,P0086,2,715.26,2026-03-22
U0188,P0128,2,1501.3,2025-10-18
U0252,P0039,3,185.22,2025-11-25
U0180,P0143,4,240.8,2026-02-11
U0252,P0105,5,41.65,2025-12-29
U0084,P0082,1,85.71,2025-04-12
U0065,P0118,2,266.76,2025-09-05
U0232,P0001,5,3028.65,2025-09-06
U0434,P0108,4,3233.8,2025-09-27
